ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
Pierre Clostermann	0.0484400656814	0.0114942528736	0.0462506841817	0.0407772304324	0.0673234811166	0.0695128626163	0.0194307608101	0.0550082101806	0.0268199233716	0.174876847291	0.0968801313629	0.0172413793103	0.245484400657
Pierre Corneille	0.0628096249115	0.0104387827318	0.00530785562633	0.0284854918613	0.083864118896	0.164012738854	0.050601556971	0.0412243453645	0.00725406935598	0.0463552724699	0.0504246284501	0.107572540694	0.023177636235
Pierre Daniel Huet	0.131036811888	0.0236406619385	0.0297196892942	0.0344478216819	0.0634920634921	0.15535292131	0.016886187099	0.0206011482607	0.0111448834853	0.12293144208	0.0341100979399	0.0226274907126	0.00979398851739
Pierre de Fermat	0.0648440238346	0.00771118121276	0.0187521906765	0.0247108307045	0.0734314756397	0.0290921836663	0.018576936558	0.018927444795	0.0103399929898	0.429022082019	0.049421661409	0.00946372239748	0.00438135296179
Pierre Drieu La Rochelle	0.0958549222798	0.00834772596431	0.0123776626367	0.0400115141048	0.0808865860679	0.224525043178	0.01065054692	0.224812895797	0.00921128382268	0.0189982728843	0.0365572826713	0.0241796200345	0.0250431778929
Pierre Gilliard	0.0313646980314	0.00667334000667	0.0133466800133	0.228895562229	0.171171171171	0.0603937270604	0.0166833500167	0.044044044044	0.0133466800133	0.0483817150484	0.0497163830497	0.015015015015	0.0156823490157
Pierre Laval	0.0160464914563	0.057463786972	0.0134443577067	0.12494578888	0.0364298724954	0.018388411831	0.0037297250412	0.312949952294	0.00563795645763	0.00810998351982	0.025197328476	0.00902073033221	0.0846127157603
Pierre Leroux	0.0356333009394	0.0103660511824	0.00971817298348	0.0249433106576	0.064139941691	0.0826044703596	0.0187884677681	0.228701004211	0.0106899902818	0.0770975056689	0.0366051182378	0.0142533203758	0.0132815030774
Pierre Rossier	0.234210055466	0.0499194847021	0.0976918947933	0.0200393630345	0.0967972803722	0.0363213455001	0.0110932188227	0.0245124351405	0.0148505993917	0.0882089819288	0.0320271962784	0.0195025943818	0.0236178207193
Pierre Schaeffer	0.0989486703772	0.0386518243661	0.00690579262008	0.0108225108225	0.0627705627706	0.0832817975675	0.320346320346	0.0182436611008	0.0133992991136	0.116470830757	0.0208204493919	0.0408163265306	0.00597814883529
Pierre Seel	0.0295992714026	0.0196948998179	0.0439435336976	0.171448087432	0.151980874317	0.0465619307832	0.00648907103825	0.102459016393	0.0617030965392	0.0112704918033	0.0253870673953	0.0245901639344	0.115209471767
Pierre Teilhard de Chardin	0.0542496828595	0.00455189911201	0.0876800238788	0.0285799567196	0.036489814193	0.113648235206	0.00858144914559	0.0270875307813	0.00850682784867	0.161032758749	0.0226848742631	0.0120886501007	0.0147003954929
Pierre Toutain-Dorbec	0.279768367716	0.0304017372421	0.0115816141875	0.0651465798046	0.167571480275	0.075642417662	0.0311255881288	0.0340209916757	0.0340209916757	0.0380021715527	0.0376402461093	0.0517553384003	0.0166485703945
Pierre Vidal-Naquet	0.235517568851	0.00379867046534	0.00593542260209	0.0498575498576	0.0612535612536	0.0465337132004	0.019943019943	0.212013295347	0.0151946818613	0.0781101614435	0.0265906932574	0.0132953466287	0.0194681861349
Piers Anthony	0.0157879058683	0.0491510277033	0.00863866547513	0.0285969615728	0.195710455764	0.257372654155	0.0190646410486	0.0151921358356	0.0384271671135	0.0208519511469	0.0497467977361	0.0592791182604	0.0277033065237
Piers Morgan	0.00894538606403	0.0381355932203	0.00847457627119	0.2131826742	0.0885122410546	0.0674199623352	0.0125235404896	0.0446327683616	0.0704331450094	0.018549905838	0.0576271186441	0.128436911488	0.0276836158192
Piet Retief	0.0297418630752	0.0252525252525	0.235129068462	0.0721099887767	0.0454545454545	0.0151515151515	0.0244107744108	0.153479236813	0.0145903479237	0.0179573512907	0.0384399551066	0.0230078563412	0.136644219978
Pieter de Hooch	0.493532338308	0.0348258706468	0.020232172471	0.0358208955224	0.0918739635158	0.0248756218905	0.0225538971808	0.0215588723051	0.00729684908789	0.0252072968491	0.0364842454395	0.0169154228856	0.0152570480929
Pietro Aglieri	0.0251762336354	0.0154414232964	0.0104061765693	0.297079556898	0.038603558241	0.0234978180598	0.0154414232964	0.1685129238	0.0110775427996	0.0711648204095	0.0419603893924	0.0181268882175	0.0275260154414
Pilita Corrales	0.013468013468	0.012506012506	0.00913900913901	0.0185185185185	0.155603655604	0.020202020202	0.26936026936	0.039442039442	0.0622895622896	0.020202020202	0.039923039923	0.204184704185	0.00649350649351
Pim Fortuyn	0.0409771473601	0.0112293144208	0.00541765169425	0.119483845548	0.0345744680851	0.0135933806147	0.00817572892041	0.4036643026	0.0309298660362	0.0338849487786	0.0296493301812	0.0250197005516	0.00512214342002
Pina Bausch	0.0916305916306	0.0104617604618	0.0256132756133	0.046176046176	0.102453102453	0.0577200577201	0.199855699856	0.0234487734488	0.0501443001443	0.0523088023088	0.0443722943723	0.160173160173	0.0122655122655
Pino Presti	0.022480620155	0.0188630490956	0.00826873385013	0.0100775193798	0.0382428940568	0.0219638242894	0.463565891473	0.0162790697674	0.0093023255814	0.0157622739018	0.0459948320413	0.0315245478036	0.00490956072351
Pinturicchio	0.470051213538	0.018481407259	0.021153417947	0.0215987530617	0.022489423291	0.0120240480962	0.0244934313071	0.0113560454242	0.0153640614562	0.0133600534402	0.0447561790247	0.0106880427522	0.0120240480962
Piper Laurie	0.0295790671217	0.0109973454683	0.0109973454683	0.0568828213879	0.116040955631	0.0212362533182	0.0193401592719	0.0166856276071	0.0307167235495	0.0238907849829	0.0390595373531	0.502844141069	0.0144103147516
PJ Harvey	0.0336336336336	0.00342342342342	0.00432432432432	0.0251651651652	0.0548948948949	0.0266066066066	0.503063063063	0.00726726726727	0.0715315315315	0.0110510510511	0.0222822822823	0.0401201201201	0.0045045045045
Placidia	0.00907835010855	0.0234852970199	0.0163805012828	0.0897967238997	0.17130451944	0.0122360371028	0.0104598381685	0.0446023287942	0.0112492599171	0.0234852970199	0.0272350503256	0.00710479573712	0.100651272943
Poets of the Fall	0.0352852852853	0.0283783783784	0.00510510510511	0.0106606606607	0.0112612612613	0.0336336336336	0.664714714715	0.00885885885886	0.0184684684685	0.0160660660661	0.0602102102102	0.0406906906907	0.00630630630631
Pol Pot	0.01166578623	0.0403680225392	0.0249163585138	0.0659006867406	0.0465310794154	0.0062951223807	0.00387392146505	0.347948582497	0.020470153196	0.0133386159535	0.0235957034689	0.00942067265364	0.181193872161
Pontormo	0.314184397163	0.00957446808511	0.00721040189125	0.0420803782506	0.027304964539	0.0198581560284	0.00945626477541	0.0112293144208	0.00614657210402	0.0232860520095	0.0249408983452	0.0151300236407	0.0118203309693
Poppy Z. Brite	0.0280335584203	0.0194393288316	0.0153468385513	0.0388786576632	0.0339676693268	0.398199304277	0.02496419071	0.0311029261306	0.0779619398404	0.0184162062615	0.0448127685697	0.0450173930837	0.0167792101494
Porcia Catonis	0.0128252558885	0.0041928721174	0.00641262794426	0.157972623011	0.165618448637	0.0569737328894	0.00690590701689	0.0281169071402	0.00295967443581	0.0187446047601	0.0184979652238	0.031076581576	0.0720187446048
Porfirio Armando Betancourt	0.0131629887727	0.00696864111498	0.0131629887727	0.0185830429733	0.054587688734	0.015873015873	0.0135501355014	0.022841656988	0.0162601626016	0.0154858691444	0.701122725513	0.0147115756872	0.0104529616725
Prabhu Deva	0.0168566001899	0.0273029439696	0.00712250712251	0.0462962962963	0.127255460589	0.025641025641	0.128205128205	0.0206552706553	0.116334283001	0.019943019943	0.0334757834758	0.297720797721	0.0102089268756
Preity Zinta	0.0150126898094	0.0141093474427	0.00425861401471	0.078633802211	0.0968727147589	0.034628124059	0.0123456790123	0.0246913580247	0.157095539209	0.0219813309244	0.0323912762937	0.282961242311	0.0214221189831
Preslava	0.0285806037251	0.00738599871548	0.0186255619782	0.0141297366731	0.155748233783	0.0253692999358	0.426461143224	0.0237636480411	0.0693641618497	0.0215157353886	0.0488118175979	0.0439948619139	0.00642260757868
Preston Sturges	0.0133626212704	0.0739520410031	0.00503386417719	0.0587589236683	0.127585575691	0.103148453231	0.0222405271829	0.0120812740253	0.00942705473183	0.0158337909573	0.0438403807432	0.245469522241	0.018579535054
Pretty Guardian Sailor Moon	0.0393021120294	0.0115702479339	0.00679522497704	0.0839302112029	0.0315886134068	0.152800734619	0.0817263544536	0.0163452708907	0.0683195592287	0.0444444444444	0.0444444444444	0.204591368228	0.0429752066116
Primitivo González del Alba	0.0212858620502	0.0164407425554	0.00860144809189	0.173879906364	0.144264793946	0.0952692035495	0.00680494311068	0.0890086558876	0.0137187653111	0.0579236757581	0.0225924111274	0.00636942675159	0.0205237084218
